temakode;objekttype;geometri
100;Sjømerke;PTEMA
1000;Fastmerke;PTEMA
1001;TrigonometriskPunkt;PTEMA
1003;Navneenhet;PTEMA
1003;Navneenhet;TTEMA
1004;Skrivemåte;PTEMA
1004;Skrivemåte;TTEMA
1005;SSRForekomst;PTEMA
1005;SSRForekomst;TTEMA
1100;RprOmråde;FTEMA
1100;RprGrense;LTEMA
1100;RprOmråde;PTEMA
1101;KpOmråde;FTEMA
1101;KpGrense;LTEMA
1101;KpOmråde;PTEMA
1102;KpArealbrukOmråde;FTEMA
1102;KpArealbrukGrense;LTEMA
1102;KpArealbrukOmråde;PTEMA
1104;KpRestriksjonOmråde;FTEMA
1104;KpRestriksjonGrense;LTEMA
1104;KpRestriksjonOmråde;PTEMA
1110;KpRetningslinjeOmråde;FTEMA
1110;KpRetningslinjeGrense;LTEMA
1110;KpRetningslinjeOmråde;PTEMA
1111;FpOmråde;FTEMA
1111;FpGrense;LTEMA
1111;FpOmråde;PTEMA
1112;FpArealbrukOmråde;FTEMA
1112;FpArealbrukGrense;LTEMA
1112;FpArealbrukOmråde;PTEMA
1114;FpRestriksjonOmråde;FTEMA
1114;FpRestriksjonGrense;LTEMA
1114;FpRestriksjonOmråde;PTEMA
1115;FpRetningslinjeOmråde;FTEMA
1115;FpRetningslinjeGrense;LTEMA
1115;FpRetningslinjeOmråde;PTEMA
1170;KpSamferdselLinje;LTEMA
1171;KpSamferdselPunkt;PTEMA
1172;FpSamferdselLinje;LTEMA
1173;FpSamferdselPunkt;PTEMA
1180;KpPåskrift;TTEMA
1181;FpPåskrift;TTEMA
1201;RbOmråde;FTEMA
1201;RbGrense;LTEMA
1201;RbOmråde;PTEMA
1202;RbFormålOmråde;FTEMA
1202;RbFormålGrense;LTEMA
1202;RbFormålOmråde;PTEMA
1205;RbFareOmråde;FTEMA
1205;RbFareGrense;LTEMA
1205;RbFareOmråde;PTEMA
1206;RbRestriksjonOmråde;FTEMA
1206;RbRestriksjonGrense;LTEMA
1206;RbRestriksjonOmråde;PTEMA
1207;RbBevaringOmråde;FTEMA
1207;RbBevaringGrense;LTEMA
1207;RbBevaringOmråde;PTEMA
1208;RbFornyelseOmråde;FTEMA
1208;RbFornyelseGrense;LTEMA
1208;RbFornyelseOmråde;PTEMA
1209;RbRekkefølgeOmråde;FTEMA
1209;RbRekkefølgeGrense;LTEMA
1209;RbRekkefølgeOmråde;PTEMA
1218;RbJuridiskLinje;LTEMA
1219;RbJuridiskPunkt;PTEMA
1261;PblByggeDeleForbudOmråde;FTEMA
1261;PblByggeDeleForbudGrense;LTEMA
1261;PblByggeDeleForbudOmråde;PTEMA
1262;PblEkspropriasjonOmråde;FTEMA
1262;PblEkspropriasjonGrense;LTEMA
1262;PblEkspropriasjonOmråde;PTEMA
1263;PblRefusjonOmråde;FTEMA
1263;PblRefusjonGrense;LTEMA
1263;PblRefusjonOmråde;PTEMA
1271;PblSøknad;FTEMA
1271;PblSøknad;LTEMA
1271;PblSøknad;PTEMA
1272;PblTiltak;FTEMA
1272;PblTiltak;LTEMA
1272;PblTiltak;PTEMA
1273;PblSøknadGrense;LTEMA
1274;PblTiltakGrense;LTEMA
1280;RbPåskrift;TTEMA
1301;IpOmråde;FTEMA
1301;IpGrense;LTEMA
1301;IpOmråde;PTEMA
1401;JordskifteFelt;FTEMA
1401;SkifteFeltGrense;LTEMA
1401;JordskifteFelt;PTEMA
1402;EteigFørSkifte;FTEMA
1402;EgrenseFørSkifte;LTEMA
1402;EteigFørSkifte;PTEMA
1403;EteigEtterSkifte;FTEMA
1403;EgrenseEtterSkifte;LTEMA
1403;EteigEtterSkifte;PTEMA
1404;VerdFigurFørSkifte;FTEMA
1404;VerdFigurFørSkifte;PTEMA
1405;VerdFigurEtterSkifte;FTEMA
1405;VerdFigurEtterSkifte;PTEMA
1406;VerdisettingGrense;LTEMA
200;SOSI_Objekt;TEMA
2001;Høydekurve;LTEMA
2003;Forsenkningskurve;LTEMA
2004;Hjelpekurve;LTEMA
2011;Dybdepunkt;PTEMA
2012;Dybdeareal;FTEMA
2012;Dybdeareal;PTEMA
2013;Dybdekurve;LTEMA
2101;Terrengpunkt;PTEMA
2102;Toppunkt;PTEMA
2103;Forsenkningspunkt;PTEMA
2104;Høydelag;FTEMA
2104;Høydelag;PTEMA
2106;DTMPunkt;PTEMA
2200;Terrenglinje;LTEMA
2201;Bruddlinje;LTEMA
2206;TerrenglinjeBygg;LTEMA
2213;Stein;FTEMA
2213;SteinOmriss;LTEMA
2213;Stein;PTEMA
300;AvgrensningLandSjø;TEMA
3000;VannflateGenerell;FTEMA
3000;VannflateGenerell;PTEMA
3001;Havflate;FTEMA
3001;Kystkontur;LTEMA
3001;Havflate;PTEMA
3002;Landareal;FTEMA
3002;Landareal;PTEMA
3003;Tørrfall;FTEMA
3003;Tørrfallsgrense;LTEMA
3003;Tørrfall;PTEMA
3005;KystkonturTekniskeAnlegg;LTEMA
3006;VannflateGenerellGrense;LTEMA
3008;Avrenning;LTEMA
3008;Avrenning;PTEMA
3009;HavElvSperre;LTEMA
3010;HavInnsjøSperre;LTEMA
3019;Skjær;FTEMA
3019;Skjær;PTEMA
3021;Grunne;PTEMA
3023;FastSjømerke;PTEMA
3024;FotogrAvgrensingGruntområde;LTEMA
3030;IsolertFarebøye;PTEMA
3036;Senterledbøye;PTEMA
3040;Vrak;FTEMA
3040;Vrak;PTEMA
3041;Vrakgrense;LTEMA
3050;Bunnbeskaffenhet;FTEMA
3050;Bunnbeskaffenhetsgrense;LTEMA
3050;Bunnbeskaffenhet;PTEMA
3101;Innsjø;FTEMA
3101;Innsjø;LTEMA
3101;Innsjø;PTEMA
3102;InnsjøkantRegulert;LTEMA
3103;Innsjøkant;LTEMA
3106;ØyInnsjø;FTEMA
3106;ØyInnsjøGrense;LTEMA
3106;ØyInnsjø;PTEMA
3107;TørrInnsjø;FTEMA
3107;TørrInnsjø;PTEMA
3109;InnsjøElvSperre;LTEMA
3110;InnsjøInnsjøSperre;LTEMA
3113;VannforekomstGrunnvann;FTEMA
3113;VannforekomstGrunnvann;PTEMA
3114;VannforekomstElv;FTEMA
3114;VannforekomstElv;PTEMA
3115;VannforekomstInnsjø;FTEMA
3116;VannforekomstInnsjø;PTEMA
3117;VannforekomstMarin;FTEMA
3117;VannforekomstMarin;PTEMA
3118;Vannforekomstgrense;LTEMA
3129;TørrInnsjøkant;LTEMA
3199;InnsjølinjeFiktiv;LTEMA
3201;ElvBekk;FTEMA
3201;ElvBekk;LTEMA
3201;ElvBekk;PTEMA
3202;ElvBekkKant;LTEMA
3203;KanalGrøft;FTEMA
3203;KanalGrøft;LTEMA
3203;KanalGrøft;PTEMA
3205;Elveterskel;FTEMA
3205;ElveterskelKant;LTEMA
3205;Elveterskel;PTEMA
3206;KanalGrøftKant;LTEMA
3207;TørrElv;FTEMA
3207;TørrElv;PTEMA
3208;Elveutløp;PTEMA
3209;ElveElvSperre;LTEMA
3210;TørrElvekant;LTEMA
3216;Flomløpkant;LTEMA
3221;FerskvannTørrfall;FTEMA
3221;FerskvannTørrfallkant;LTEMA
3221;FerskvannTørrfall;PTEMA
3222;Foss;LTEMA
3222;Foss;PTEMA
3223;Stryk;LTEMA
3223;Stryk;PTEMA
3225;Kraftverktunnel;LTEMA
3251;Nedbørfelt;FTEMA
3251;Nedbørfelt;PTEMA
3260;VassVernOmr;FTEMA
3260;VassVernOmr;PTEMA
3277;NedbørfeltGr;LTEMA
3278;VassVernOmrådegrense;LTEMA
3280;FlomAreal;FTEMA
3280;FlomAreal;PTEMA
3281;FlomArealGrense;LTEMA
3282;Flomløp;FTEMA
3282;Flomløp;LTEMA
3282;Flomløp;PTEMA
3299;ElvelinjeFiktiv;LTEMA
3310;Isbre;FTEMA
3310;Isbrekant;LTEMA
3310;Isbre;PTEMA
3311;SnøIsbre;FTEMA
3311;SnøIsbre;PTEMA
3312;Snølinje;LTEMA
3313;Bresprekk;LTEMA
3314;Snøfonn;FTEMA
3314;Snøfonnkant;LTEMA
3314;Snøfonn;PTEMA
3315;SnøIsbreKant;LTEMA
3590;Lengdeprofillinje;LTEMA
3591;Tverrprofilpunkt;PTEMA
3592;Tverrprofillinje;LTEMA
400;TeigForMatrikkelenhet;TEMA
4001;Nasjon;FTEMA
4001;Riksgrense;LTEMA
4001;Nasjon;PTEMA
4002;Fylke;FTEMA
4002;Fylkesgrense;LTEMA
4002;Fylke;PTEMA
4003;Kommune;FTEMA
4003;Kommunegrense;LTEMA
4003;Kommune;PTEMA
4004;Landsdel;FTEMA
4004;LandsdelGrense;LTEMA
4004;Landsdel;PTEMA
4005;Grunnkrets;FTEMA
4005;Grunnkretsgrense;LTEMA
4005;Grunnkrets;PTEMA
4006;Grunnlinjepunkt;PTEMA
4007;Tettsted;FTEMA
4007;Tettstedsgrense;LTEMA
4007;Tettsted;PTEMA
4008;AdmSenter;PTEMA
4010;Teiggrensepunkt;PTEMA
4011;Teig;FTEMA
4011;Teiggrense;LTEMA
4011;Teig;PTEMA
4012;Poststed;FTEMA
4012;Poststedgrense;LTEMA
4012;Poststed;PTEMA
4013;Lokalutvalggrense;LTEMA
4014;Skattetakstområde;FTEMA
4014;Skattetakstgrense;LTEMA
4014;Skattetakstområde;PTEMA
4018;Servitutt;FTEMA
4018;Servituttgrense;LTEMA
4018;Servitutt;PTEMA
4019;Delområde;FTEMA
4019;Delområdegrense;LTEMA
4019;Delområde;PTEMA
402;DekTeig;FTEMA
402;DekTeig;PTEMA
4020;Allmenning;FTEMA
4020;Allmenninggrense;LTEMA
4020;Allmenning;PTEMA
4021;Sentrumssone;FTEMA
4021;Sentrumssone;PTEMA
4022;Naturvernområde;FTEMA
4022;Naturverngrense;LTEMA
4022;Naturvernområde;PTEMA
4023;AndreFaremerker;PTEMA
4024;AndreFasteMerker;PTEMA
4025;Skytefelt;FTEMA
4025;Skytefelt;PTEMA
4026;IsolertFaremerke;PTEMA
4028;Grunneiendom;TEMA
4029;Spesialmerke;PTEMA
403;AnnenMatrikkelenhet;TEMA
4030;Lateralmerke;PTEMA
4031;Territorialområde;FTEMA
4031;Territorialgrense;LTEMA
4031;Territorialområde;PTEMA
4032;Fiskerigrense;LTEMA
4034;Skolekrets;FTEMA
4034;Skolekretsgrense;LTEMA
4034;Skolekrets;PTEMA
4035;Valgkrets;FTEMA
4035;Valgkretsgrense;LTEMA
4035;Valgkrets;PTEMA
4036;Postområde;FTEMA
4036;Postområdegrense;LTEMA
4036;Postområde;PTEMA
4037;Postregion;FTEMA
4037;Postregionsgrense;LTEMA
4037;Postregion;PTEMA
4038;Postsone;FTEMA
4038;Postsonegrense;LTEMA
4038;Postsone;PTEMA
4039;Politidistrikt;FTEMA
4039;Politidistriktgrense;LTEMA
4039;Politidistrikt;PTEMA
404;Matrikkelenhet;TEMA
4040;Bispedømme;FTEMA
4040;Bispedømmegrense;LTEMA
4040;Bispedømme;PTEMA
4041;Prosti;FTEMA
4041;Prostigrense;LTEMA
4041;Prosti;PTEMA
4042;Prestegjeld;FTEMA
4042;Prestegjeldgrense;LTEMA
4042;Prestegjeld;PTEMA
4043;Sogn;FTEMA
4043;Sognegrense;LTEMA
4043;Sogn;PTEMA
4044;Sentrumssonegrense;LTEMA
4045;Bydel;FTEMA
4045;BydelGrense;LTEMA
4045;Bydel;PTEMA
4046;Seksjon;TEMA
4047;Festegrunn;TEMA
4048;PriorOmråde;FTEMA
4048;PriorGrense;LTEMA
4048;PriorOmråde;PTEMA
4050;Kardinalbøye;PTEMA
4051;Lateralbøye;PTEMA
4080;Lyktefundament;PTEMA
4081;Pillar;PTEMA
4082;Landemerke;PTEMA
4083;Overett;LTEMA
4084;Signalutstyr;PTEMA
4085;Radio;PTEMA
4086;Lys;PTEMA
4087;Lyssektor;PTEMA
4088;Racon;PTEMA
4089;Radarstasjon;PTEMA
4091;Grunnlinje;LTEMA
4092;Tohundremilsgrense;LTEMA
4093;Tollgrense10Nm;LTEMA
4095;ServituttGrenseFiktiv;LTEMA
4101;Grustak;FTEMA
4101;Grustak;PTEMA
4102;Steinbrudd;FTEMA
4102;Steinbrudd;PTEMA
4103;Gruve;FTEMA
4103;Gruve;PTEMA
4104;Leirtak;FTEMA
4104;Leirtak;PTEMA
4105;Torvtak;FTEMA
4105;Torvtak;PTEMA
4109;Anleggsområde;FTEMA
4109;Anleggsområde;PTEMA
4110;Arealbrukgrense;LTEMA
4111;Tømmervelte;FTEMA
4111;Tømmervelte;PTEMA
4121;Gravplass;FTEMA
4121;Gravplass;PTEMA
4122;Park;FTEMA
4122;Park;PTEMA
4123;Lekeplass;FTEMA
4123;Lekeplass;PTEMA
4130;Rasteplass;FTEMA
4130;Rasteplass;PTEMA
4131;SportIdrettPlass;FTEMA
4131;SportIdrettPlass;PTEMA
4132;Campingplass;FTEMA
4132;Campingplass;PTEMA
4133;Skytebane;FTEMA
4133;Skytebane;PTEMA
4134;Golfbane;FTEMA
4134;Golfbane;PTEMA
4152;Steintipp;FTEMA
4152;Steintipp;PTEMA
4153;Setervoll;FTEMA
4153;Setervoll;PTEMA
4154;Hyttefelt;FTEMA
4154;Hyttefelt;PTEMA
4200;Landbruksområde;FTEMA
4200;Landbruksområde;PTEMA
4201;Markslag;FTEMA
4201;MarkslagGrense;LTEMA
4201;Markslag;PTEMA
4205;ArealressursFlate;FTEMA
4205;ArealressursFlate;PTEMA
4206;ArealressursGrense;LTEMA
4207;ArealressursGrenseFiktiv;LTEMA
4209;MarkslagGrenseFiktiv;LTEMA
4210;KjerneområdeKulturlandskap;FTEMA
4210;KjerneområdeKulturlandskap;PTEMA
4211;KjerneområdeKulturlandskapGr;LTEMA
4212;KjerneområdeLandbruk;FTEMA
4212;KjerneområdeLandbruk;PTEMA
4213;Vernskog;FTEMA
4213;Vernskog;LTEMA
4213;Vernskog;PTEMA
4214;VernskogGrense;LTEMA
4215;KjerneområdeLandbrukGr;LTEMA
4216;KjerneområdeMatproduksjon;FTEMA
4216;KjerneområdeMatproduksjon;PTEMA
4217;kjerneområdeMatproduksjonGr;LTEMA
